机器人名	所属类目	创作者	使用人数	收藏人数	地址	功能描述	头像	创作者头像	机器人id
OpenAI Sora提示词助手	视频	KKirikaze	99	3	https://www.coze.cn/store/bot/7342425602751758355	本工具可以为OpenAI Sora创造提示词，仅需几分钟即可设计一部AI短片，为您提供全部场景和分镜的Prompt。我经过专业电影设计训练，只需简单说出您想要的短视频类型，我就可以为您设计各类精彩短片。	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/f2ef5dfbaf014fa89e0228a43a7450ee~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497566&x-signature=UzahWQjhrPC77%2FKPg3dXGHAwXxM%3D	https://p26-passport.byteacctimg.com/img/user-avatar/d71d89c10c944dbc8f3c51e22aa5287d~300x300.image	7342425602751758355
文字生成视频助手	视频	thekingofai	34	2	https://www.coze.cn/store/bot/7341736383775653915	有价值有趣的视频帮助视频观看者获取灵感和愉悦	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/f4c990ab30a94b2ab2c41d46cdbc447b~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497566&x-signature=YXq%2FlANpGAYwqHVtueLDvj8ZE0M%3D	https://p3-passport.byteacctimg.com/img/user-avatar/c1d1db5cfb30bd31bf0a1ceab041510f~300x300.image	7341736383775653915
视频生成器	视频	jianjian23	29	0	https://www.coze.cn/store/bot/7342768374629351478	这是一个可以根据你的要求生成视频的机器人	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/42e4bf2489d3484588ed8847e8ddb298~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497566&x-signature=tQSNGSKx0z1JRyfCBLvlBa7FEmo%3D	https://p26-passport.byteacctimg.com/img/user-avatar/9bd8cf84c05a396265b0a087be7c6234~300x300.image	7342768374629351478
小说	视频	Damon_9108	47	2	https://www.coze.cn/store/bot/7340818468738105371	小说解说	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/395c57f5240a4db3a56cce0b52468cf2~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497566&x-signature=INpz3sOQ8a5MiGcQcom6xYKDpzA%3D	https://p6-passport.byteacctimg.com/img/user-avatar/044f86d0762ab826d4e59285bb9936af~300x300.image	7340818468738105371
分镜专家	视频	derekdevin	67	4	https://www.coze.cn/store/bot/7340298790273826842	分镜专家	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/cf2157a80cbf42a881c6b3fe9caadfeb~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497566&x-signature=hgEbDd5a0Aqw%2BMgp94hTXDQ4Qjs%3D	https://p26-passport.byteacctimg.com/img/user-avatar/9f4bd484af01f799acb2e8034464c670~300x300.image	7340298790273826842
抖音热点视频	视频	hxss1999	28	0	https://www.coze.cn/store/bot/7342881280234799119	抖音每日热点视频推送！	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/063d09b930ae45638d7e230e362ba2d1~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497566&x-signature=Vn4nVlDmA3mRGWseA7J8yJmcK50%3D	https://p3-passport.byteacctimg.com/img/user-avatar/b15f32932acb62fea156b13d5bf55891~300x300.image	7342881280234799119
视频脚本生成	视频	用户4728350278849	28	4	https://www.coze.cn/store/bot/7341190570573856819	优化或创建视频脚本	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/0b84aecd3ddb40719ac92e14c1396042~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497566&x-signature=MuLjZwCSzfbJoBL951GR4%2Ftka4U%3D	https://p26-passport.byteacctimg.com/img/user-avatar/e86aecc032fa2f580713db4fca462322~300x300.image	7341190570573856819
录屏助手	视频	用户4347611462719	29	0	https://www.coze.cn/store/bot/7340910123533074444	一个可以帮助你录制屏幕的 Bot	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/5340c91d5c8c443397f326ca8ccf742e~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497566&x-signature=P%2BY1ZDf3tFQT5ATGXc%2BUHoIsBW8%3D	https://p26-passport.byteacctimg.com/img/user-avatar/32be86df7f9f36ac8b35b5c772d40055~300x300.image	7340910123533074444
视频剪辑跟风大师	视频	2014	39	2	https://www.coze.cn/store/bot/7340705704061239322	一个能帮你剪辑视频跟风大师	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/9971a5b22fd6460b85757334c69c90bb~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497566&x-signature=%2FqN3YI9SEf1985zBZOOxmSgglBo%3D	https://p3-passport.byteacctimg.com/img/user-avatar/c5792ed68359827a2008d64616f6e319~300x300.image	7340705704061239322
提取短视频文本	视频	用户2870770635546	18	4	https://www.coze.cn/store/bot/7342145907762413577	可以提取链接中短视频里的文案	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/f318708f5a074cd8a6f846aa9b9a7452~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497566&x-signature=rkdUQmGohyltjkS61%2BIbWMVoQ5A%3D	https://p3-passport.byteacctimg.com/img/user-avatar/e791d5b05af2216e792abae6abe60c18~300x300.image	7342145907762413577
