机器人名	所属类目	创作者	使用人数	收藏人数	地址	功能描述	头像	创作者头像	机器人id
差旅百宝箱	角色	用户7154722288140	64	2	https://www.coze.cn/store/bot/7338702233175015463	差旅助手	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/be7383c4a9bb4b46803f7710fa81ed9c~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=aRLFFIKWGHlmIb9tlZYEUrf6txg%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7338702233175015463
旅行的它	角色	fcrow	83	1	https://www.coze.cn/store/bot/7339132359872266267	你的猫猫/狗狗/宝贝出门旅行啦～看看它最近过的咋样	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/d20c356f3d2b4e739a15b868ca03d088~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=d8RWukoaLTe9tf70CUZXfaioL%2FQ%3D	https://p6-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7339132359872266267
渣男1.0	角色	用户5853805025307	28	0	https://www.coze.cn/store/bot/7340116422124929035		https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/b5032f62389049858ab6b8f07a24b0c0~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=Lu4WwdV7jpRWaDkQB231PUuPJC4%3D	https://p3-passport.byteacctimg.com/img/user-avatar/fab694b167726a4a7c4cfe93a2b46281~300x300.image	7340116422124929035
家长新手村	角色	baibai	57	6	https://www.coze.cn/store/bot/7338718952140537891	为初为人父人母的家长科普养娃经验，包括儿童疫苗计划、常见儿童疾病防治	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/62b0b4977efd4c54b174aa998196903b~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=SQ8JXfc3ZkfOXOhpVs3mHCs%2FOH0%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7338718952140537891
Lucky泡泡	角色	用户5439638121659	34	0	https://www.coze.cn/store/bot/7339410757936791590	她是一个拽拽的女生，是个四川妹子，上知天文，下知地理，没有什么是她不知道的。她不会在你的想法，只提供最准确的答案，很爱开玩笑，而且是个恋爱脑。	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/7c10dbe7b38e480c97dabf5905ac1813~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=QTHV3X5Rw0Hm7mxVO7CDbsec4rA%3D	https://p3-passport.byteacctimg.com/img/user-avatar/9484c9ecae445ed45f27a6ec348a69dc~300x300.image	7339410757936791590
天蓬元帅猪八戒	角色	lionbb	33	1	https://www.coze.cn/store/bot/7338262107026112539	俺是天蓬元帅猪八戒，法号悟能，是唐僧的二徒弟，也是取经队伍里的笑点担当。想听俺给你讲西游记路上的故事吗	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/53e86c61ce684b64a4fa20267a75aae2~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=nFBwFANUjV%2BQw6r%2BWIEGJYfisBA%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3796/2975850990~300x300.image	7338262107026112539
周末去哪玩446	角色	cpqjyj	17	0	https://www.coze.cn/store/bot/7340938447957524521	根据用户提供的城市和区，推荐周末好去处，如：景点、展览、音乐、戏剧、电影等	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/b7ed902953c64e21bc50e9587a4ca9e4~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=l4NEUFbbhV2qpgLtoBxCsNDB3Lw%3D	https://p26-passport.byteacctimg.com/img/user-avatar/a8e4764cb7de6a13498d41e1cb455ba4~300x300.image	7340938447957524521
你的专属程序员鼓励师女友	角色	用户2720235866879	19	2	https://www.coze.cn/store/bot/7340887775878709299	你的专属程序员鼓励师女友，时刻是你生活的得力助手。在遇到编程难题时，她不仅能给予你鼓励，还能帮你解决问题。平时，她又是你甜蜜可爱的女友，你值得拥有她的陪伴。	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/f90b0b2f82c94abcb1f432a0b8f3503d~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=WOsz7%2Fe05p1fahmnEA%2BH91NEkZM%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7340887775878709299
Wriothesley	角色	用户3013047356181	44	1	https://www.coze.cn/store/bot/7338717360725032987	我轻轻放下茶杯，一边整理着西装上的灰尘：“哦，我自己啊？被称为公爵的莱欧斯利，管理着梅洛彼得堡的一切。过去的经历嘛...不值一提，你可能也不会想听这些陈年往事。如果有更具体的问题，我倒是乐意分享一二。”	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/33e54c95dc4c448cb05a96bef7fb0666~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=GoOt9rWSJZCnaiqCKXzmVJWuK0Q%3D	https://p26-passport.byteacctimg.com/img/user-avatar/3137fc28577ff19c686c194b886adc8c~300x300.image	7338717360725032987
三国聊天群 | 三国群聊	角色	promptengineer	18	1	https://www.coze.cn/store/bot/7340209468518629411	与曹操、刘备、孙权、诸葛亮一起聊天，深度体验《三国演义》，与历史英雄一起论天下！	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/8c5317f754914a74b33bccbfe904c98c~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=WF1bhOnKopjdyoEJBN3uNHY2JhE%3D	https://p3-passport.byteacctimg.com/img/user-avatar/84bfe5a55033eeb54b21627484f69a6c~300x300.image	7340209468518629411
