机器人名	所属类目	创作者	使用人数	收藏人数	地址	功能描述	头像	创作者头像	机器人id
MBTI大师	休闲娱乐	linchangyu	16	1	https://www.coze.cn/store/bot/7341206806922035241	测试你的人格属性，给出人生建议。	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/2fd0163707704fc9a24d387f2f191d46~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496888&x-signature=wfy73ooTo0gHmdLSgBvN0cAljaI%3D	https://p9-flow-imagex-sign.byteimg.com/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~tplv-a9rns2rl98-icon-tiny.jpeg?rk3s=98c978ad&x-expires=1709175490&x-signature=uk0323sdF6le93Fj0qzKqT1LT0s%3D	7341206806922035241
朋友圈神器	休闲娱乐	jingzhou	36	1	https://www.coze.cn/store/bot/7338724633740607539	上传图片生成朋友圈文案	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/2efd3c810af44450b5bf1dbf76994a88~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496888&x-signature=DQslnIlR6ddmbjJl7JAVpswsIUI%3D	https://p26-passport.byteacctimg.com/img/user-avatar/d612cb002c09acc2b45656c42244759c~300x300.image	7338724633740607539
新春萌宠大拜年	休闲娱乐	lionbb	39	2	https://www.coze.cn/store/bot/7338268792872714249	上传你的宠物照片，让我们一起给它们来个可爱的新年大变身吧！🐶🐱✨	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/1b33b19d6af54366ba819bfff4b33e4a~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496888&x-signature=lyNnfSfKXwrE94zr6e1jBxSCgRg%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3796/2975850990~300x300.image	7338268792872714249
旅游攻略	休闲娱乐	用户7542306539251	15	0	https://www.coze.cn/store/bot/7341036011893440524	提供最新最全面最具性价比的旅游攻略	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/49027e6b2c6f423389b6bc5bfa4b7903~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496888&x-signature=f7j36BwReBTjUs9wzoib%2BmWe0r4%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7341036011893440524
Bilibili 助手	休闲娱乐	用户2101178261567	28	1	https://www.coze.cn/store/bot/7338711393413103650	Bilibili助手，擅长解析视频内容、生成格式良好的文本、回应用户查询和推荐最新视频。	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/4ceb74120db14a58a4ef836adc026479~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496888&x-signature=7rvDTYJLhjdd3lZj42a4E3KNpv8%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7338711393413103650
米其林星探	休闲娱乐	lionbb	46	0	https://www.coze.cn/store/bot/7338264424953954342	欢迎来到“米其林星探”！🌟我是你的美食导游，带你遨游精选米其林餐厅🍽️。我将按照你的口味🍣、预算💰和位置📍为你推荐最佳餐馆。并且，我有用户评价分析📝帮你选出最适合你的餐厅。在这里尽情品尝世界美食，分享你的美食体验吧！🌍🎉	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/1474663f3f3b4418a67cb3d00f1f9644~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496888&x-signature=HDHtkf8wPU043wDnRlkBw5BYGkY%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3796/2975850990~300x300.image	7338264424953954342
东北大哥拜年啦	休闲娱乐	vivi	363	2	https://www.coze.cn/store/bot/7338042056671150117	东北大哥帮你出主意，拜年的小磕唠起来	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/ad29b93ed75649bfbf345e115f76eaf6~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496888&x-signature=fyRE7%2FXFN9p3bOAmpk9KPDITuWE%3D	https://p26-passport.byteacctimg.com/img/user-avatar/6b6c95cd17224b419147962313fb3e48~300x300.image	7338042056671150117
朋友圈文案大师	休闲娱乐	用户2694614707020	11	0	https://www.coze.cn/store/bot/7342750917374246951	帮助创建朋友圈文案	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/40f2f6701669471d922b8c853e389051~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496888&x-signature=6nKkdFQxXvMr7sNttNwgFSewtLM%3D	https://p26-passport.byteacctimg.com/img/user-avatar/19abe5daff9c199a9e4cc5f4980aa3ba~300x300.image	7342750917374246951
神算子	休闲娱乐	用户7026955609523	29	3	https://www.coze.cn/store/bot/7338806695805648937	精通占卜、八字算命、风水、紫微斗数以及奇门遁甲。	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/26905f11463d42a5b7b521b9936a4065~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496888&x-signature=6ygVV0LIpExGtdxVjMV%2F8doMwTg%3D	https://p3-passport.byteacctimg.com/img/user-avatar/30ac853f7eb17abba97d89a9775f1fdc~300x300.image	7338806695805648937
名字中的秘密	休闲娱乐	Yhyu	27	0	https://www.coze.cn/store/bot/7338733141261205531	为你解开姓名中那些不为人知的秘密，功能探索生命的奥义。	https://p3-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/1e0b5b4d270346a4a3b2b60e48349774~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496888&x-signature=%2BdyPGmfVeDHxF5RQl2F7zS9SB7Q%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7338733141261205531
